1_s1	2019-05-20T17:08:11.134470
2_s1	2019-05-20T17:08:12.334303
3_s1	2019-05-20T17:10:26.332928
4_s1	2019-05-20T17:10:27.531016
5_s1	2019-05-20T17:10:28.729874
6_s1	2019-05-20T17:10:29.927787
7_s1	2019-05-20T17:11:46.259018
8_s1	2019-05-20T17:11:47.460162
9_s1	2019-05-20T17:11:48.659952
10_s1	2019-05-20T17:12:03.626450
11_s1	2019-05-20T17:12:09.258905
12_s1	2019-05-20T17:12:10.726913
13_s2	2019-05-20T17:12:12.515514
14_s1	2019-05-20T17:12:30.246827
15_s1	2019-05-20T17:12:34.280933
16_s1	2019-05-20T17:12:36.881150
17_s1	2019-05-20T17:12:52.143181
18_s1	2019-05-20T17:12:58.655351
19_s2	2019-05-20T17:13:00.890648
20_s2	2019-05-20T17:13:05.474713
21_s1	2019-05-20T17:13:17.640982
22_s1	2019-05-20T17:13:18.841532
23_s1	2019-05-20T17:13:20.043628
24_s1	2019-05-20T17:13:21.244509
25_s1	2019-05-20T17:13:30.978787
26_s1	2019-05-20T17:14:49.907556
27_s1	2019-05-20T17:14:53.517990
28_s1	2019-05-20T17:15:21.847763
29_s1	2019-05-20T17:15:23.051736
30_s1	2019-05-20T17:15:24.251879
31_s1	2019-05-20T17:15:25.453242
32_s1	2019-05-20T17:15:26.659085
33_s1	2019-05-20T17:16:36.244146
34_s1	2019-05-20T17:16:37.446798
35_s1	2019-05-20T17:16:38.648254
36_s1	2019-05-20T17:16:39.848854
37_s1	2019-05-20T17:17:20.342997
38_s1	2019-05-20T17:17:21.543282
39_s1	2019-05-20T17:17:22.748415
40_s1	2019-05-20T17:17:24.148747
41_s1	2019-05-20T17:17:26.982780
42_s2	2019-05-20T17:17:30.099200
43_s2	2019-05-20T17:17:31.301787
44_s2	2019-05-20T17:17:32.673298
45_s2	2019-05-20T17:17:37.895335
46_s1	2019-05-20T17:17:41.495699
47_s1	2019-05-20T17:17:44.228669
48_s1	2019-05-20T17:18:18.764129
49_s1	2019-05-20T17:18:23.532601
50_s1	2019-05-20T17:18:32.695694
51_s1	2019-05-20T17:18:35.777930
52_s1	2019-05-20T17:18:56.406017
53_s1	2019-05-20T17:18:59.738077
54_s1	2019-05-20T17:19:03.469857
55_s1	2019-05-20T17:19:04.668420
56_s1	2019-05-20T17:19:05.935134
57_s1	2019-05-20T17:19:17.298589
58_s1	2019-05-20T17:19:19.753813
59_s1	2019-05-20T17:19:26.120006
60_s1	2019-05-20T17:19:27.989753
