1_s1	2019-05-20T15:32:50.837008
2_s1	2019-05-20T15:32:52.036636
3_s1	2019-05-20T15:32:53.237515
4_s1	2019-05-20T15:32:54.439458
5_s1	2019-05-20T15:32:55.643936
6_s1	2019-05-20T15:32:56.846589
7_s1	2019-05-20T15:32:58.047131
8_s1	2019-05-20T15:32:59.250222
9_s1	2019-05-20T15:33:00.449895
10_s1	2019-05-20T15:33:01.648637
11_s1	2019-05-20T15:33:02.846563
12_s1	2019-05-20T15:33:04.047661
13_s1	2019-05-20T16:12:32.801936
14_s1	2019-05-20T16:12:34.003621
15_s1	2019-05-20T16:12:35.203542
16_s1	2019-05-20T16:12:36.404578
17_s1	2019-05-20T16:12:37.606009
18_s1	2019-05-20T16:12:42.089480
19_s1	2019-05-20T16:12:43.289360
20_s1	2019-05-20T16:12:44.487955
21_s1	2019-05-20T16:12:45.688847
22_s1	2019-05-20T16:12:46.889871
23_s1	2019-05-20T16:12:48.091222
24_s1	2019-05-20T16:12:49.292312
25_s1	2019-05-20T16:12:50.492990
26_s1	2019-05-20T16:12:51.693506
27_s1	2019-05-20T16:12:52.894212
28_s1	2019-05-20T16:12:54.097320
29_s1	2019-05-20T16:12:55.298119
30_s1	2019-05-20T16:12:56.499203
31_s1	2019-05-20T16:12:58.251683
32_s1	2019-05-20T16:12:59.451185
33_s1	2019-05-20T16:13:15.785809
34_s1	2019-05-20T16:13:16.986265
35_s1	2019-05-20T16:13:18.187194
36_s1	2019-05-20T16:13:19.386136
37_s1	2019-05-20T16:13:20.587872
38_s1	2019-05-20T16:13:59.284391
39_s1	2019-05-20T16:14:00.489947
40_s1	2019-05-20T16:14:01.695555
41_s1	2019-05-20T16:14:02.898819
42_s1	2019-05-20T16:14:15.030349
43_s1	2019-05-20T16:14:16.232206
44_s1	2019-05-20T16:14:17.432013
45_s1	2019-05-20T16:14:18.636704
46_s1	2019-05-20T16:14:19.835096
47_s1	2019-05-20T16:14:21.035444
48_s1	2019-05-20T16:14:22.234312
49_s1	2019-05-20T16:14:23.432599
50_s1	2019-05-20T16:14:24.629553
51_s1	2019-05-20T16:19:59.057434
52_s1	2019-05-20T16:20:00.271551
53_s1	2019-05-20T16:20:01.465618
54_s1	2019-05-20T16:20:02.667862
55_s1	2019-05-20T16:20:03.896639
56_s1	2019-05-20T16:20:05.099166
57_s1	2019-05-20T16:20:15.054188
58_s1	2019-05-20T16:20:16.253632
59_s1	2019-05-20T16:20:17.452673
60_s1	2019-05-20T16:22:28.757442
61_s1	2019-05-20T16:22:29.958498
62_s1	2019-05-20T16:22:31.159081
63_s1	2019-05-20T16:22:32.358797
64_s1	2019-05-20T16:22:33.559272
65_s1	2019-05-20T16:23:10.022459
66_s1	2019-05-20T16:23:11.224639
67_s1	2019-05-20T16:23:12.429536
68_s1	2019-05-20T16:23:13.660036
69_s1	2019-05-20T16:23:32.868451
70_s1	2019-05-20T16:23:34.037410
71_s1	2019-05-20T16:23:35.234234
72_s1	2019-05-20T16:23:36.435083
73_s1	2019-05-20T16:23:37.636225
